"index","covariate_name"
369,"tcb_1_PC2_m3"
370,"tcb_1_PC3_m3"
371,"tcb_2_PC1_m3"
372,"tcb_2_PC2_m3"
373,"tcb_2_PC3_m3"
374,"tcb_3_PC1_m3"
375,"tcb_3_PC2_m3"
376,"tcb_3_PC3_m3"
377,"tcw_1_PC1_m3"
378,"tcw_1_PC2_m3"
379,"tcw_1_PC3_m3"
380,"tcw_2_PC1_m3"
381,"tcw_2_PC2_m3"
382,"tcw_2_PC3_m3"
383,"tcw_3_PC1_m3"
384,"tcw_3_PC2_m3"
385,"tcw_3_PC3_m3"
386,"ins_ind1"
387,"ins_ind2"
388,"ins_ind3"
389,"ins_ind4"
390,"ins_ind5"
391,"ins_ind6"
392,"ins_ind7"
393,"ins_ind8"
394,"ins_ind9"
395,"ins_ind10"
396,"ins_ind11"
